index,comment,n_star,date_time,label,clean_comment,GENERAL,SCREEN,CAMERA,FEATURES,BATTERY,PERFORMANCE,STORAGE,DESIGN,PRICE,SER&ACC
0,"Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình",5,2 tuần trước,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,mới mua máy này tại thegioididong thốt nốt cảm thấy ok pin trâu chụp ảnh đẹp loa nghe to bắt wifi khỏe sóng ổn định giá thành vừa với túi tiền nhân viên tư vấn nhiệt tình,positive,none,positive,positive,positive,none,none,none,positive,positive
1,Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,5,14/09/2019,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,pin kém còn lại miễn chê mua 8 3 2019 tình trạng pin còn 88 có ai giống tôi không,positive,none,none,none,negative,none,none,none,none,none
2,Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không),3,17/08/2020,{FEATURES#Negative};,sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy lúc có lúc không,none,none,none,negative,none,none,none,none,none,none
3,"Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy",3,29/02/2020,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Neutral};,mọi người cập nhật phần mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng ok nhưng vân tay không nhạy,neutral,none,none,negative,neutral,none,none,none,none,none
4,"Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...",5,4/6/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{SER&ACC#Negative};,mới mua xài được 1 tháng thấy pin rất trâu xài bao mượt nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa mất rút tai nghe ra cắm vào lại thì nó mới nghe được,none,none,none,none,positive,positive,none,none,none,negative
5,"Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi",5,20/06/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,xài tốt rất mượt pin trâu nếu các bạn để độ sáng vừa đủ nhân viên nhiệt tình vui vẻ nói chung là tầm giá này thì máy này là quá tốt rồi,positive,none,none,none,neutral,positive,none,none,neutral,positive
6,Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,1,1 tuần trước,{BATTERY#Negative};{OTHERS};,mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ bản lướt web cơ bản game không chơi,none,none,none,none,negative,none,none,none,none,none
7,"Hôm qua ngày 23/6/2020 e ra thế giới di động  mua chiếc dthoai galaxy A51 ,. Lúc đầu bên cửa hàng báo giá 7.790.00đ  được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thoai ,tối về đến nhà  nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian ..",2,23/06/2020,{SER&ACC#Negative};{OTHERS};,hôm qua ngày 23 6 2020 e ra thế giới di động mua chiếc dthoai galaxy a51 lúc đầu bên cửa hàng báo giá 7 790 00đ được tặng phiếu mua hàng 250k lúc thanh toán thì nhân viên lại thanh toán 7 990 0đ không có phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân viên mới gọi đến có xin lỗi vì xài xót và bảo mình xuống đó nhận phiếu mua hàng 250k chán quá đúng là làm mất thời gian,none,none,none,none,none,none,none,none,none,negative
8,"Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời.  T đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy",2,23/12/2019,{BATTERY#Negative};{OTHERS};,tại sao điện thoại mới mà sạc nó nóng máy lên quá trời t đã tắt tất cả mạng ứng dung game và cấm không cho chạy nền cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời sạc 3 tiếng mới đầy,none,none,none,none,negative,none,none,none,none,none
9,"Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lang khó chịu vl. Sạc thì lâu, k bao giờ dungg oppo nữa.",1,31/05/2020,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9 thất vọng thực sự khi dùng oppo màn hình hiển thị tối om máy chơi game giật lang khó chịu vl sạc thì lâu không bao giờ dungg oppo nữa,none,negative,none,none,negative,negative,none,none,none,negative
